site;plot;treatment;transect;subplot;position_m;species;height_cm;girth_cm;diameter_cm;notes
Sandviksås;Ö;thinned;Ö25;2;31;Picea abies;48;;;
Sandviksås;Ö;thinned;Ö25;2;31;Picea abies;75;;;
Sandviksås;Ö;thinned;Ö25;2;31;Picea abies;67;;;
Sandviksås;Ö;thinned;Ö25;2;31;Picea abies;104;;;
Sandviksås;Ö;thinned;Ö25;3;65;Betula pendula;85;;;dense with spruce, moss and litter under
Sandviksås;Ö;thinned;Ö25;3;65;Betula pendula;58;;;
Sandviksås;Ö;thinned;Ö25;3;65;Populus tremula;163;1;0,318310155;heavily browsed
Sandviksås;Ö;thinned;Ö25;3;65;Betula pendula;93;;;
Sandviksås;Ö;thinned;Ö25;3;65;Betula pendula;110;;;
Sandviksås;Ö;thinned;Ö25;3;65;Betula pendula;56;;;
Sandviksås;Ö;thinned;Ö25;3;65;Picea abies;60;;;
Sandviksås;Ö;thinned;Ö25;3;65;Picea abies;35;;;
Sandviksås;Ö;thinned;Ö25;3;65;Betula pendula;163;0,5;0,159155078;
Sandviksås;Ö;thinned;Ö25;3;65;Picea abies;72;;;
Sandviksås;Ö;thinned;Ö25;3;65;Quercus sp.;31;;;not browsed?
Sandviksås;Ö;thinned;Ö25;3;65;Quercus sp.;55;;;not browsed?
Sandviksås;Ö;thinned;Ö25;3;65;Sorbus aucuparia;50;;;
Sandviksås;Ö;thinned;Ö25;3;65;Picea abies;49;;;
Sandviksås;Ö;thinned;Ö25;3;65;Quercus sp.;47;;;browsed
Sandviksås;Ö;thinned;Ö25;3;65;Quercus sp.;93;;;browsed
Sandviksås;Ö;thinned;Ö25;3;65;Picea abies;41;;;
Sandviksås;Ö;thinned;Ö25;3;65;Picea abies;103;;;
Sandviksås;Ö;thinned;Ö25;3;65;Picea abies;90;;;
Sandviksås;Ö;thinned;Ö25;3;65;Betula pendula;137;0,5;0,159155078;browsed
Sandviksås;Ö;thinned;Ö25;3;65;Betula pendula;157;1;0,318310155;
Sandviksås;Ö;thinned;Ö25;3;65;Betula pendula;33;;;
Sandviksås;Ö;thinned;Ö25;3;65;Sorbus aucuparia;31;;;
Sandviksås;Ö;thinned;Ö25;3;65;Picea abies;102;;;
Sandviksås;Ö;thinned;Ö25;3;65;Picea abies;155;3;0,954930465;
Sandviksås;Ö;thinned;Ö25;3;65;Betula pendula;44;;;
Sandviksås;Ö;thinned;Ö25;3;65;Betula pendula;57;;;
Sandviksås;Ö;thinned;Ö25;3;65;Betula pendula;120;;;browsed
Sandviksås;Ö;thinned;Ö25;3;65;Picea abies;45;;;
Sandviksås;Ö;thinned;Ö25;3;65;Picea abies;>130;5;1,591550775;
Sandviksås;Ö;thinned;Ö25;3;65;Picea abies;65;;;
Sandviksås;Ö;thinned;Ö25;3;65;Picea abies;74;;;
